code,yoy,mom
5534,452.58,132.12
6177,149.18,-18.25
9906,75.87,-3.4
9946,312.15,-58.02
2208,-81.91,-27.21
2601,-61.41,10.74
2603,31.41,10.51
2605,15.67,9.57
2606,41.77,-4.96
2607,33.32,23.13
2608,-5.8,-3.77
2609,22.22,6.16
2610,27.73,1.79
2611,-2.1,-55.67
2612,12.01,5.42
2613,4.34,6.73
2615,22.89,6.75
2617,33.3,15.92
2618,22.1,1.63
2630,-29.25,16.42
2633,3.5,-1.82
2634,18.86,19.07
2636,10.7,11.12
2642,-23.11,-1.31
2645,10.64,-1.2
2646,41.18,3.11
5607,38.95,6.04
5608,13.88,11.16
6753,26.91,6.96
6757,21.73,-8.03
8367,-7.82,-9.43
2701,-6.35,7.4
2702,6.82,3.59
2704,-2.08,6.42
2705,-6.33,-0.73
2706,0.7,-0.47
2707,2.23,15.0
2712,4.54,9.43
2722,-5.66,-0.86
2727,15.02,22.41
2731,9.76,4.31
2739,-3.01,7.4
2748,7.84,10.26
2753,13.34,5.15
5706,-2.01,-2.19
7705,0.54,24.04
7760,-10.44,8.92
8940,-6.29,42.62
9943,-1.26,6.83
2801,24.59,6.02
2812,28.33,-18.32
2816,22.17,-24.48
2820,89.39,11.36
2832,30.97,6.58
2834,22.52,4.45
2836,14.38,4.38
2838,61.12,-2.08
2845,21.67,1.27
2849,15.6,-8.92
2850,2.09,-8.34
2851,1113.14,-16.22
2852,-6.85,0.45
2855,428.43,-1.17
2867,154.93,-30.08
2880,72.52,0.54
2881,155.02,-43.01
2882,130.63,-17.88
2883,126.09,-13.98
2884,24.75,-7.83
2885,928.42,23.22
2886,25.55,-7.53
2887,317.18,-13.8
2889,147.94,5.74
2890,82.69,4.89
2891,341.32,-2.4
2892,36.7,-0.22
2897,39.86,-0.08
5876,5.28,0.8
5880,37.42,3.46
6005,155.54,-18.27
6024,-200.5,-255.52
2901,-2.22,4.51
2903,0.89,5.07
2905,-19.95,-24.8
2906,-2.86,-2.86
2908,-4.07,-4.77
2910,0.7,8.87
2911,-23.85,21.28
2912,5.27,5.78
2913,-19.27,-8.3
2915,-21.82,10.2
2945,40.91,4.53
8443,-12.65,11.94
2072,81.08,-5.81
3708,70.6,22.08
4582,117.07,15.88
5292,45.03,49.74
6581,0.68,-25.38
6771,-5.88,4.23
6869,-27.76,1.28
6873,-32.8,-8.54
6923,20.57,-2.25
6944,48.22,10.15
6951,15.52,-1.6
6969,1.67,11.18
6994,26.7,3.94
7610,462.17,9.87
7740,1254.6,-19.29
7786,37.69,14.72
7818,-16.35,-9.48
8341,35.33,3.92
8422,199.6,227.59
8438,49.77,2.26
8473,2.65,-3.03
8476,-53.88,-28.61
9930,-5.55,4.58
9955,-3.68,-8.04
3130,10.46,4.95
6165,8.72,5.3
6614,83.31,52.3
6689,-0.27,0.41
6902,27.69,1.86
6906,0.56,7.47
7721,72.32,4.13
7722,17.19,13.68
7765,3.12,-39.02
8454,4.1,8.52
8487,-2.14,4.47
1432,-38.66,-0.81
1598,5.12,-11.17
1736,1.64,1.57
4536,20.7,-6.8
5306,8.73,-9.95
6670,32.03,4.36
8462,20.06,1.86
8478,-99.65,-99.5
9904,0.17,-2.87
9910,11.74,-1.45
9914,18.34,4.39
9921,5.81,-3.42
2062,13.19,-4.11
3557,78.61,27.31
6754,-19.41,0.4
8464,3.27,-1.55
9911,8.66,0.07
9924,-8.88,3.02
9934,4.43,-0.92
9935,16.47,7.67
1342,37.2,-3.37
1416,61.12,20.74
1435,0.0,-0.2
1437,-0.61,8.13
1443,-2.26,-1.68
1516,-15.99,29.55
2348,-55.01,21.86
2496,2.04,-3.56
2514,-4.44,1.77
2614,-4.71,9.12
2904,-15.93,2.47
3040,-14.4,-0.07
6184,-0.43,-6.19
6464,1.22,-8.24
6504,6.09,-0.06
6585,58.06,-13.87
6592,-2.82,-1.75
6625,29.57,118.46
6655,23.62,-3.93
6901,407.46,22.33
6914,6.86,6.1
6952,17.66,-4.28
6958,-2.98,5.64
8033,-9.55,6.97
8463,-9.06,-9.91
8481,11.51,-2.39
9902,-94.03,-77.2
9905,20.03,7.27
9907,-20.93,-0.46
9917,1.41,0.25
9919,-1.43,-1.82
9925,4.06,2.9
9927,19.93,3.75
9928,-10.3,3.75
9929,1.45,-20.95
9933,-2.59,8.96
9938,4.4,-9.07
9939,10.8,3.36
9940,36.9,9.63
9941,0.57,0.78
9942,10.76,-7.01
9944,7.34,-6.52
9945,72.0,32.83
1256,23.65,4.41
1337,-9.61,7.95
1340,-70.78,28.67
1341,14.53,-25.35
4439,15.55,14.86
1589,14.31,-0.58
1590,40.38,-9.96
4552,0.71,-1.84
4560,21.97,-3.27
4571,7.21,9.98
5288,68.5,10.06
1626,-7.67,5.25
4763,-22.69,8.47
4137,-14.58,-18.23
4148,21.75,-23.71
4178,5.0,-7.65
4190,1.76,-1.14
6431,-23.24,-33.37
6541,208.2,-58.43
6550,248.65,-4.01
6598,134.89,-1.1
6666,35.11,37.68
7827,,-100.0
5538,22.37,-9.09
1338,6.24,-6.86
2115,32.46,-7.59
2236,27.34,11.8
2239,-10.7,-26.52
2243,16.98,-0.87
2248,32.13,-15.03
2250,-15.37,-17.41
4557,-19.6,6.69
4569,14.59,11.65
4581,8.19,-16.16
3661,-33.45,-9.26
